Лог-файл створено: 4/22/2023 11:30:39 PM
Файл або каталог: C:/forLab3\8\65.docx -> C:/forLab3\8\1.docx перейменовано, Час: 4/22/2023 11:59:32 PM
Файл або каталог: C:/forLab3\8 змінено, Час: 4/22/2023 11:59:32 PM
Файл або каталог: C:/forLab3\8\1.docx змінено, Час: 4/22/2023 11:59:32 PM
Файл або каталог: C:/forLab3\New folder створено, Час: 4/23/2023 7:27:48 PM
Файл або каталог: C:/forLab3\New Mathcad Document.mcd створено, Час: 4/23/2023 7:27:57 PM
Файл або каталог: C:/forLab3\6.docx змінено, Час: 4/23/2023 7:28:06 PM
Файл або каталог: C:/forLab3\~$6.docx створено, Час: 4/23/2023 7:28:06 PM
Файл або каталог: C:/forLab3\~$6.docx змінено, Час: 4/23/2023 7:28:06 PM
Файл або каталог: C:/forLab3\~WRD4013.tmp створено, Час: 4/23/2023 7:28:10 PM
Файл або каталог: C:/forLab3\~WRD4013.tmp змінено, Час: 4/23/2023 7:28:10 PM
Файл або каталог: C:/forLab3\~WRD4013.tmp змінено, Час: 4/23/2023 7:28:10 PM
Файл або каталог: C:/forLab3\~WRD4013.tmp змінено, Час: 4/23/2023 7:28:10 PM
Файл або каталог: C:/forLab3\~WRD4013.tmp змінено, Час: 4/23/2023 7:28:10 PM
Файл або каталог: C:/forLab3\~WRD4013.tmp змінено, Час: 4/23/2023 7:28:10 PM
Файл або каталог: C:/forLab3\6.docx -> C:/forLab3\~WRL4044.tmp перейменовано, Час: 4/23/2023 7:28:10 PM
Файл або каталог: C:/forLab3\~WRD4013.tmp -> C:/forLab3\6.docx перейменовано, Час: 4/23/2023 7:28:10 PM
Файл або каталог: C:/forLab3\~WRL4044.tmp змінено, Час: 4/23/2023 7:28:10 PM
Файл або каталог: C:/forLab3\6.docx змінено, Час: 4/23/2023 7:28:10 PM
Файл або каталог: C:/forLab3\6.docx змінено, Час: 4/23/2023 7:28:10 PM
Файл або каталог: C:/forLab3\~WRL4044.tmp змінено, Час: 4/23/2023 7:28:10 PM
Файл або каталог: C:/forLab3\~WRL4044.tmp видалено, Час: 4/23/2023 7:28:10 PM
Файл або каталог: C:/forLab3\New folder (2) створено, Час: 4/23/2023 7:29:26 PM
Файл або каталог: C:/forLab3\New folder (2) -> C:/forLab3\somefolder перейменовано, Час: 4/23/2023 7:29:31 PM
Файл або каталог: C:/forLab3\7.xlsx змінено, Час: 4/23/2023 7:29:37 PM
Файл або каталог: C:/forLab3\somefolder\New Adobe Photoshop Image 22.psd створено, Час: 4/23/2023 7:29:44 PM
Файл або каталог: C:/forLab3\somefolder змінено, Час: 4/23/2023 7:29:44 PM
Файл або каталог: C:/forLab3\~$New Microsoft PowerPoint Presentation (2).pptx створено, Час: 4/23/2023 7:30:39 PM
Файл або каталог: C:/forLab3\~$New Microsoft PowerPoint Presentation (2).pptx змінено, Час: 4/23/2023 7:30:39 PM
Файл або каталог: C:/forLab3\~$New Microsoft PowerPoint Presentation (2).pptx змінено, Час: 4/23/2023 7:30:39 PM
